# 8aca4a61-e4ac-4c7d-9511-f4a8d3f39971
# a09cf052a49b0e3f85846801704347b7c320c491
# x_ref_m; y_ref_m; width_right_m; width_left_m; x_normvec_m; y_normvec_m; alpha_m; s_racetraj_m; psi_racetraj_rad; kappa_racetraj_radpm; vx_racetraj_mps; ax_racetraj_mps2
-299.1777066; -2113.0603303; 6.9118933; 7.1883067; -0.9999540; -0.0095871; 5.0502535; 0.0000000; -3.1008719; 0.0014617; 66.0159892; 0.0893969
-299.1496182; -2116.0584417; 6.9432233; 7.1572270; -0.9999578; -0.0091885; 4.9494853; 2.9979445; -3.0978489; 0.0015623; 66.0186967; 0.0887727
-299.1223734; -2119.0565817; 6.9778040; 7.1224964; -0.9999593; -0.0090242; 4.8333573; 5.9976541; -3.0912382; 0.0017378; 66.0240548; 0.0875374
-299.0952698; -2122.0547716; 6.9916914; 7.1084579; -0.9999586; -0.0090941; 4.7013962; 8.9992032; -3.0839872; 0.0018873; 66.0293379; 0.0863194
-299.0676045; -2125.0530324; 6.9982392; 7.1029513; -0.9999558; -0.0093983; 4.5532428; 12.0026567; -3.0801417; 0.0019589; 66.0319517; 0.0857167
-299.0386750; -2128.0513852; 6.9978849; 7.1071258; -0.9999506; -0.0099368; 4.3886007; 15.0080709; -3.0720402; 0.0020917; 66.0371244; 0.0845241
-299.0077786; -2131.0498511; 6.9972268; 7.1137096; -0.9999427; -0.0107093; 4.2072273; 18.0154919; -3.0677943; 0.0021549; 66.0396835; 0.0839341
-298.9742126; -2134.0484511; 6.9997692; 7.1193295; -0.9999314; -0.0117163; 4.0089325; 21.0249586; -3.0589386; 0.0022723; 66.0447480; -0.1229633
-298.9372744; -2137.0472064; 7.0060273; 7.1234297; -0.9999161; -0.0129558; 3.7935766; 24.0364894; -3.0543404; 0.0023266; 66.0410253; -0.3583550
-298.8962613; -2140.0461381; 7.0156741; 7.1268227; -0.9998958; -0.0144350; 3.5610692; 27.0501253; -3.0448170; 0.0024242; 66.0119387; -0.7716600
-298.8504706; -2143.0452672; 7.0266392; 7.1310101; -0.9998700; -0.0161268; 3.3113973; 30.0657746; -3.0399475; 0.0024461; 65.9885617; -0.8575033
-298.7991854; -2146.0446126; 7.0364695; 7.1389335; -0.9998354; -0.0181452; 3.0448449; 33.0837643; -3.0300764; 0.0025177; 65.9344227; -1.1460674
-298.7408003; -2149.0440535; 7.0434958; 7.1516507; -0.9997802; -0.0209663; 2.7624479; 36.1051735; -3.0249456; 0.0026137; 65.8996595; -4.5352311
-298.6723134; -2152.0432495; 7.0479495; 7.1695967; -0.9996909; -0.0248622; 2.4661669; 39.1298681; -3.0143104; 0.0027017; 65.6238618; -4.3990385
-298.5906000; -2155.0418411; 7.0505667; 7.1913058; -0.9995561; -0.0297939; 2.1585170; 42.1566381; -3.0088686; 0.0027416; 65.4896944; -4.2769917
-298.4925360; -2158.0394685; 7.0497370; 7.2191130; -0.9993599; -0.0357730; 1.8421891; 45.1843869; -2.9977584; 0.0028139; 65.2316230; -4.0491867
-298.3749967; -2161.0357722; 7.0473096; 7.2502017; -0.9990838; -0.0427974; 1.5199429; 48.2119918; -2.9920988; 0.0028478; 65.1073919; -3.9520689
-298.2348577; -2164.0303925; 7.0430935; 7.2856408; -0.9987054; -0.0508686; 1.1945938; 51.2383761; -2.9805865; 0.0029084; 64.8670394; -3.7778718
-298.0689947; -2167.0229699; 7.0360015; 7.3254475; -0.9981993; -0.0599850; 0.8690039; 54.2625263; -2.9747447; 0.0029358; 64.7504872; -3.6982413
-297.8742831; -2170.0131448; 7.0277500; 7.3689328; -0.9975365; -0.0701492; 0.5460722; 57.2835314; -2.9628970; 0.0029867; 64.5237877; -3.5883267
-297.6475986; -2173.0005575; 7.0172673; 7.4164759; -0.9966862; -0.0813426; 0.2287156; 60.3006011; -2.9569081; 0.0030046; 64.4124983; -3.2801566
-297.3858167; -2175.9848485; 7.0038240; 7.4687160; -0.9956082; -0.0936180; -0.0802637; 63.3131335; -2.9445746; 0.0031459; 64.2152901; -3.0625561
-297.0859792; -2178.9656542; 6.9943107; 7.5185168; -0.9943033; -0.1065878; -0.3787071; 66.3208378; -2.9382953; 0.0031356; 64.1198622; -3.1340366
-296.7471347; -2181.9425647; 6.9997206; 7.5557079; -0.9928269; -0.1195608; -0.6657033; 69.3239128; -2.9258393; 0.0031051; 63.9203369; -3.2514559
-296.3696633; -2184.9151392; 7.0192689; 7.5799073; -0.9912012; -0.1323641; -0.9414188; 72.3227016; -2.9196066; 0.0031298; 63.8185501; -3.2091281
-295.9539693; -2187.8829363; 7.0498072; 7.5960963; -0.9894261; -0.1450380; -1.2064214; 75.3174876; -2.9070191; 0.0031646; 63.6183253; -3.1312238
-295.5004566; -2190.8455146; 7.0828021; 7.6109412; -0.9875074; -0.1575726; -1.4613104; 78.3085560; -2.9006746; 0.0031821; 63.5198391; -3.0961478
-295.0095294; -2193.8024328; 7.1154533; 7.6265288; -0.9854490; -0.1699716; -1.7066595; 81.2961467; -2.8878845; 0.0032140; 63.3256519; -3.0329291
-294.4815917; -2196.7532494; 7.1456732; 7.6464642; -0.9832549; -0.1822353; -1.9430174; 84.2804718; -2.8814435; 0.0032292; 63.2298183; -3.0054725
-293.9170476; -2199.6975231; 7.1714939; 7.6716575; -0.9809292; -0.1943652; -2.1709090; 87.2617118; -2.8684725; 0.0032576; 63.0402658; -2.9563559
-293.3163011; -2202.6348125; 7.1945574; 7.7010225; -0.9784756; -0.2063625; -2.3908362; 90.2400190; -2.8619462; 0.0032710; 62.9464299; -2.9385204
-292.6797564; -2205.5646762; 7.2158855; 7.7338769; -0.9758976; -0.2182290; -2.6032773; 93.2155180; -2.8488178; 0.0032932; 62.7597973; -2.9281732
-292.0078176; -2208.4866729; 7.2357976; 7.7684410; -0.9731987; -0.2299659; -2.8086741; 96.1883073; -2.8422261; 0.0033009; 62.6664407; -2.9004551
-291.3008523; -2211.4003720; 7.2566641; 7.8034787; -0.9703739; -0.2416080; -3.0073965; 99.1583769; -2.8289676; 0.0033292; 62.4818308; -2.8658743
-290.5590756; -2214.3053882; 7.2778541; 7.8392416; -0.9674167; -0.2531896; -3.1997222; 102.1257559; -2.8223012; 0.0033397; 62.3900548; -2.8579562
-289.7826628; -2217.2013484; 7.2999566; 7.8743952; -0.9643278; -0.2647109; -3.3858666; 105.0905736; -2.8089069; 0.0033588; 62.2068153; -2.8463043
-288.9717889; -2220.0878791; 7.3238574; 7.9084352; -0.9611083; -0.2761718; -3.5660198; 108.0529516; -2.8021829; 0.0033679; 62.1152629; -2.8347185
-288.1266292; -2222.9646071; 7.3486462; 7.9422415; -0.9577589; -0.2875723; -3.7403593; 111.0130033; -2.7886801; 0.0033849; 61.9329266; -2.8074007
-287.2473588; -2225.8311590; 7.3752172; 7.9740429; -0.9542805; -0.2989126; -3.9090516; 113.9708347; -2.7819048; 0.0033931; 61.8422265; -2.7924500
-286.3341528; -2228.6871617; 7.4036836; 8.0060848; -0.9506737; -0.3101926; -4.0722529; 116.9265455; -2.7751119; 0.0034009; 61.7518773; -2.7760918
-285.3871865; -2231.5322417; 7.4327799; 8.0371781; -0.9469393; -0.3214125; -4.2301092; 119.8802286; -2.7614824; 0.0034159; 61.5723957; -2.7414601
-284.4066349; -2234.3660257; 7.4632925; 8.0661964; -0.9430778; -0.3325722; -4.3827570; 122.8319721; -2.7546449; 0.0034230; 61.4833082; -2.7225785
-283.3926732; -2237.1881405; 7.4950894; 8.0950313; -0.9390897; -0.3436721; -4.5303244; 125.7818559; -2.7409284; 0.0034375; 61.3065676; -2.6867741
-282.3454769; -2239.9982129; 7.5270192; 8.1230154; -0.9349761; -0.3547108; -4.6729359; 128.7299660; -2.7340482; 0.0034443; 61.2188793; -2.6675169
-281.2652355; -2242.7958742; 7.5600944; 8.1500421; -0.9307404; -0.3656805; -4.8107207; 131.6764143; -2.7202521; 0.0034555; 61.0451338; -2.6202984
-280.1521624; -2245.5807638; 7.5935103; 8.1769484; -0.9263853; -0.3765770; -4.9438136; 134.6212935; -2.7133369; 0.0034615; 60.9592498; -2.5988389
-279.0064728; -2248.3525215; 7.6268615; 8.2026602; -0.9219112; -0.3874014; -5.0723486; 137.5646643; -2.6994719; 0.0034729; 60.7892590; -2.5541388
-277.8283822; -2251.1107874; 7.6614821; 8.2277098; -0.9173188; -0.3981536; -5.1964529; 140.5065863; -2.6925224; 0.0034784; 60.7051921; -2.5313932
-276.6181059; -2253.8552014; 7.6955827; 8.2529607; -0.9126087; -0.4088342; -5.3162459; 143.4471123; -2.6785915; 0.0034890; 60.5389736; -2.4851258
-275.3758594; -2256.5854034; 7.7294680; 8.2771682; -0.9077815; -0.4194434; -5.4318395; 146.3862904; -2.6716105; 0.0034941; 60.4568412; -2.4617250
-274.1018580; -2259.3010334; 7.7634523; 8.3005567; -0.9028377; -0.4299816; -5.5433377; 149.3241640; -2.6576184; 0.0035038; 60.2945779; -2.4144072
-272.7963170; -2262.0017314; 7.7962235; 8.3244168; -0.8977776; -0.4404491; -5.6508375; 152.2607724; -2.6506082; 0.0035086; 60.2144603; -2.3906724
-271.4594520; -2264.6871372; 7.8295542; 8.3471290; -0.8926016; -0.4508462; -5.7544285; 155.1961507; -2.6365593; 0.0035177; 60.0562840; -2.3427946
-270.0914782; -2267.3568909; 7.8621569; 8.3698379; -0.8873101; -0.4611734; -5.8541933; 158.1303305; -2.6295217; 0.0035221; 59.9782354; -2.3189572
-268.6926111; -2270.0106324; 7.8932665; 8.3929594; -0.8819031; -0.4714307; -5.9502073; 161.0633403; -2.6154197; 0.0035307; 59.8242320; -2.2709211
-267.2630659; -2272.6480016; 7.9242066; 8.4145993; -0.8763809; -0.4816187; -6.0425394; 163.9952057; -2.6083566; 0.0035349; 59.7482855; -2.2471628
-265.8030582; -2275.2686386; 7.9544897; 8.4365303; -0.8707435; -0.4917374; -6.1312514; 166.9259498; -2.6012844; 0.0035389; 59.6730385; -2.2231107
-264.3128033; -2277.8721831; 7.9830745; 8.4582134; -0.8649911; -0.5017872; -6.2163986; 169.8555935; -2.5871172; 0.0035469; 59.5246753; -2.1756862
-262.7925166; -2280.4582753; 8.0109737; 8.4793059; -0.8591235; -0.5117683; -6.2980296; 172.7841557; -2.5800214; 0.0035507; 59.4515491; -2.1518644
-261.2424134; -2283.0265550; 8.0371889; 8.5008818; -0.8531407; -0.5216809; -6.3761868; 175.7116540; -2.5658080; 0.0035582; 59.3074289; -2.1048768
-259.6627091; -2285.5766623; 8.0636373; 8.5205440; -0.8470426; -0.5315251; -6.4509059; 178.6381046; -2.5586899; 0.0035618; 59.2364246; -2.0813880
-258.0536192; -2288.1082369; 8.0868110; 8.5420249; -0.8408289; -0.5413010; -6.5222161; 181.5635232; -2.5444328; 0.0035688; 59.0965398; -2.0349490
-256.4153590; -2290.6209190; 8.1093773; 8.5627824; -0.8344995; -0.5510087; -6.5901406; 184.4879246; -2.5372936; 0.0035723; 59.0276505; -2.0118307
-254.7481439; -2293.1143485; 8.1307792; 8.5820045; -0.8280540; -0.5606483; -6.6546960; 187.4113234; -2.5229953; 0.0035789; 58.8919831; -1.9659729
-253.0521892; -2295.5881652; 8.1510075; 8.6014910; -0.8214922; -0.5702198; -6.7158927; 190.3337346; -2.5158363; 0.0035821; 58.8251988; -1.9432265
-251.3277104; -2298.0420092; 8.1690489; 8.6207721; -0.8148136; -0.5797231; -6.7737350; 193.2551733; -2.5014992; 0.0035884; 58.6937281; -1.8979208
-249.5749228; -2300.4755204; 8.1862038; 8.6393056; -0.8080178; -0.5891581; -6.8282205; 196.1756556; -2.4943217; 0.0035914; 58.6290388; -1.8755232
-247.7940419; -2302.8883388; 8.2013595; 8.6580255; -0.8011044; -0.5985247; -6.8793411; 199.0951986; -2.4799484; 0.0035971; 58.5017466; -1.8307155
-245.9852829; -2305.2801042; 8.2148073; 8.6759002; -0.7940729; -0.6078226; -6.9270821; 202.0138207; -2.4727536; 0.0036000; 58.4391441; -1.8086395
-244.1488614; -2307.6504568; 8.2275855; 8.6927620; -0.7869227; -0.6170516; -6.9714228; 204.9315421; -2.4655528; 0.0036026; 58.3772307; -1.7863485
-242.2849926; -2309.9990363; 8.2384242; 8.7096255; -0.7796533; -0.6262115; -7.0123362; 207.8483851; -2.4511361; 0.0036079; 58.2554930; -1.7425047
-240.3938920; -2312.3254828; 8.2478219; 8.7253674; -0.7722640; -0.6353017; -7.0497895; 210.7643743; -2.4439197; 0.0036103; 58.1956563; -1.7205325
-238.4757749; -2314.6294363; 8.2561795; 8.7401247; -0.7647544; -0.6443219; -7.0837437; 213.6795372; -2.4294730; 0.0036151; 58.0780599; -1.6772818
-236.5308567; -2316.9105365; 8.2622628; 8.7546519; -0.7571236; -0.6532716; -7.1141543; 216.5939039; -2.4222425; 0.0036174; 58.0202880; -1.6557597
-234.5593528; -2319.1684236; 8.2676261; 8.7679020; -0.7493711; -0.6621502; -7.1409711; 219.5075083; -2.4077681; 0.0036218; 57.9067942; -1.6133732
-232.5614786; -2321.4027375; 8.2721122; 8.7797059; -0.7414962; -0.6709570; -7.1641385; 222.4203879; -2.4005244; 0.0036240; 57.8510601; -1.5924345
-230.5374494; -2323.6131181; 8.2733333; 8.7923982; -0.7334982; -0.6796914; -7.1835960; 225.3325839; -2.3860241; 0.0036281; 57.7416002; -1.5511428
-228.4874808; -2325.7992053; 8.2753219; 8.8019424; -0.7253764; -0.6883525; -7.1992779; 228.2441423; -2.3787680; 0.0036302; 57.6878634; -1.5307814
-226.4117879; -2327.9606392; 8.2754599; 8.8111142; -0.7171300; -0.6969394; -7.2111135; 231.1551134; -2.3642438; 0.0036339; 57.5823631; -1.4899347
-224.3105863; -2330.0970597; 8.2742639; 8.8190269; -0.7087584; -0.7054513; -7.2190264; 234.0655526; -2.3569767; 0.0036355; 57.5306048; -1.4694278
-222.1840912; -2332.2081066; 8.2729053; 8.8248694; -0.7002608; -0.7138872; -7.2229337; 236.9755206; -2.3424329; 0.0036383; 57.4291056; -1.4276651
-220.0325181; -2334.2934201; 8.2699427; 8.8298191; -0.6916365; -0.7222458; -7.2227461; 239.8850839; -2.3351571; 0.0036396; 57.3793790; -1.4069583
-217.8560824; -2336.3526399; 8.2667858; 8.8326726; -0.6828848; -0.7305260; -7.2183689; 242.7943150; -2.3278787; 0.0036408; 57.3303314; -1.3861532
-215.6549995; -2338.3854062; 8.2628849; 8.8337141; -0.6740051; -0.7387267; -7.2097024; 245.7032923; -2.3133149; 0.0036432; 57.2342705; -1.3460000
-213.4294846; -2340.3913587; 8.2577916; 8.8337708; -0.6649968; -0.7468462; -7.1966445; 248.6121032; -2.3060290; 0.0036448; 57.1872297; -1.3273928
-211.1797533; -2342.3701376; 8.2532499; 8.8306198; -0.6558585; -0.7548839; -7.1791049; 251.5208327; -2.2914320; 0.0036551; 57.0945038; -1.3147599
-208.9060470; -2344.3214114; 8.2482860; 8.8256774; -0.6466221; -0.7628105; -7.1570499; 254.4298837; -2.2841286; 0.0036503; 57.0484427; -1.2759118
-206.6087253; -2346.2449793; 8.2426290; 8.8189221; -0.6373230; -0.7705967; -7.1305355; 257.3396729; -2.2695383; 0.0036484; 56.9599264; -1.2255119
