# created on: 2021-02-23, 15:52:07
# track: berlin
# GUI mode: 2
# s_m,x_m,y_m,ax_max_mps2,ay_max_mps2
0.0000,105.0785,141.5841,11.9621,11.8518
44.9765,77.7136,105.8941,11.2304,11.7568
98.9527,45.7755,62.3811,12.9183,12.0389
212.8881,-12.4783,-35.1460,16.0000,15.0000
404.7891,-13.0975,-213.7312,16.0000,15.0000
467.7251,12.4647,-173.4387,16.0000,15.0000
488.6117,-4.2089,-161.1102,11.3271,12.8872
512.5905,-19.1601,-143.4601,11.8761,12.8725
533.4852,-10.5556,-126.0624,11.3145,11.4086
575.4583,30.3038,-131.1873,12.5566,11.5538
593.5039,47.3606,-137.0782,12.6324,11.4048
614.4420,67.3625,-143.2624,12.5487,12.9920
635.4250,87.6020,-148.7945,12.0313,11.0247
659.4811,111.0824,-150.8711,12.0453,12.0644
680.0131,120.8209,-134.2391,11.8890,12.3769
698.3734,120.4823,-115.8906,12.9630,12.8657
788.1537,169.3955,-42.4465,11.6352,11.4203
938.0745,273.4276,65.5035,16.0000,16.0000
1120.9687,416.8692,177.6065,16.0000,16.0000
1141.9591,435.2822,187.6839,16.0000,16.0000
1204.9346,490.4639,218.0286,16.0000,16.0000
1255.8454,526.8271,251.7707,16.0000,16.0000
1279.8537,522.5505,274.5525,12.8059,12.8361
1411.7711,396.2278,294.4410,12.8262,11.2326
1468.7061,342.3459,277.7118,11.6056,11.7945
1498.7020,322.3686,255.7205,11.5838,12.3331
1552.6692,311.2448,203.3823,12.7645,11.1369
1591.6477,303.9943,165.1871,11.0514,11.5646
1612.6335,295.6077,145.9770,12.2467,11.5611
1672.5893,258.8148,98.8698,12.5595,11.3271
1741.5804,212.0735,48.1252,11.4129,12.9640
1813.6172,163.3070,-4.8942,12.6140,12.3074
1840.4971,140.2917,-15.9074,12.7135,12.2388
1861.2805,130.1507,0.1669,11.9392,11.6356
1906.3219,152.6587,38.5471,12.7648,11.8650
1969.2680,191.9253,87.7425,11.0000,8.0000
2038.2123,231.1896,144.3054,11.0000,8.0000
2056.2210,239.6566,160.1993,11.0000,8.0000
2074.2463,248.3316,175.9986,11.0000,8.0000
2095.1922,257.7905,194.6701,11.7074,11.6509
2119.1348,261.7466,217.9773,12.8164,12.8142
2137.1403,252.0777,232.6741,12.1099,12.6430
2320.0404,105.0785,141.5841,11.7801,12.5147
